Dataset 1,Dataset 2,Lag months,Pearson,Spearman,Overlapping observations,Aligned start,Aligned end
Industrial Production,Unemployment Rate,12,0.01190245214951716,0.04673189987294498,941,1948-02-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,-12,0.019202070999561005,0.01652839242371773,232,2006-04-01,2025-07-01
Industrial Production,Average Weekly Hours — Total Private,-11,0.07178039229629539,0.024027002471068547,233,2006-04-01,2025-08-01
Industrial Production,Average Weekly Hours — Total Private,-10,0.01506753225017631,-0.023003326029258402,234,2006-04-01,2025-09-01
Industrial Production,Average Weekly Hours — Total Private,-9,-0.0727373219237895,-0.01470285939125136,235,2006-04-01,2025-10-01
Industrial Production,Average Weekly Hours — Total Private,-8,-0.0015786199601010133,0.035055718591077714,236,2006-04-01,2025-11-01
Industrial Production,Average Weekly Hours — Total Private,-7,0.013067746340310849,-0.03708060424466429,237,2006-04-01,2025-12-01
Industrial Production,Average Weekly Hours — Total Private,-6,0.0641003095267467,0.15237169064151035,238,2006-04-01,2026-01-01
Industrial Production,Average Weekly Hours — Total Private,-5,0.031682071093854514,-0.0007254776233400481,239,2006-04-01,2026-02-01
Industrial Production,Average Weekly Hours — Total Private,-4,-0.012621363762524323,-0.053139251584958254,240,2006-04-01,2026-03-01
Industrial Production,Average Weekly Hours — Total Private,-3,0.07674646552870493,0.2367617773978267,241,2006-04-01,2026-04-01
Industrial Production,Average Weekly Hours — Total Private,-2,0.10191423143116897,0.014477775100448004,242,2006-04-01,2026-05-01
Industrial Production,Average Weekly Hours — Total Private,-1,0.13761123249714266,-0.037344892519273885,243,2006-04-01,2026-06-01
Industrial Production,Average Weekly Hours — Total Private,0,0.22236188246650987,0.33426228928312046,244,2006-04-01,2026-07-01
Industrial Production,Average Weekly Hours — Total Private,1,-0.28229523281403235,-0.03338163171153068,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,2,0.04028626055902639,0.04375508359246961,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,3,0.11624957027849767,0.09164599070953924,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,4,0.02506112759940212,0.14434058862976643,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,5,-0.07065306749584305,-0.06015368035595782,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,6,0.06053958044585098,0.0791198943927032,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,7,-0.004024277105073744,0.02376599410112152,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,8,-0.03703446970907198,0.04161721305863558,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,9,-0.014582577416977683,-0.012294493675670681,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,10,0.09876038786419909,-0.022782660560864126,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,11,0.002911493025209829,0.08487867451158579,245,2006-04-01,2026-08-01
Industrial Production,Average Weekly Hours — Total Private,12,-0.14891008175843923,-0.13370555177700472,245,2006-04-01,2026-08-01
