Dataset 1,Dataset 2,Lag months,Pearson,Spearman,Overlapping observations,Aligned start,Aligned end,Zero lag pearson,Absolute gain over zero,Category 1,Category 2,First variable timing
Real Personal Income,Average Weekly Hours — Total Private,10,-0.3551075179393908,-0.11943092069834997,245,2006-04-01,2026-08-01,0.24185964420703238,0.11324787373235845,Growth / Activity,Labor,precedes second
Real Retail & Food Services Sales,Average Weekly Hours — Total Private,0,0.3542620804932088,0.184957423666874,243,2006-04-01,2026-08-01,0.3542620804932088,0.0,Growth / Activity,Labor,same month
Labor Force Participation Rate,Total Capacity Utilization,0,0.3533529192128598,0.06129791597495112,712,1967-02-01,2026-07-01,0.3533529192128598,0.0,Labor,External / Structural,same month
Real Personal Consumption Expenditure,Building Permits,0,0.35287090958551676,0.18640377064265298,234,2007-02-01,2026-07-01,0.35287090958551676,0.0,Growth / Activity,Growth / Activity,same month
Job Openings,Total Capacity Utilization,0,0.34757408392030026,0.18497642749238064,307,2001-01-01,2026-07-01,0.34757408392030026,0.0,Labor,External / Structural,same month
Commercial & Industrial Loans,M2 Money Supply,0,0.3457328843401356,0.10459389289654905,810,1959-02-01,2026-07-01,0.3457328843401356,0.0,Credit,Policy / Liquidity,same month
Real Retail & Food Services Sales,M2 Money Supply,-1,0.34491231166313047,0.07346464307879132,413,1992-01-01,2026-07-01,-0.06346124108780926,0.2814510705753212,Growth / Activity,Policy / Liquidity,follows second
Nonfarm Payroll Employment,M2 Money Supply,0,-0.3441165221840267,0.09285440432828992,810,1959-02-01,2026-07-01,-0.3441165221840267,0.0,Labor,Policy / Liquidity,same month
Core CPI,Producer Prices — Final Demand,0,0.341493144690755,0.1894399499166957,199,2009-12-01,2026-08-01,0.341493144690755,0.0,Inflation,Inflation,same month
Real Personal Consumption Expenditure,Housing Starts,0,0.33852821075853734,0.17472615186206442,234,2007-02-01,2026-07-01,0.33852821075853734,0.0,Growth / Activity,Growth / Activity,same month
Industrial Production,Job Openings,0,0.3385216042092027,0.16900618701730027,307,2001-01-01,2026-07-01,0.3385216042092027,0.0,Growth / Activity,Labor,same month
Real Personal Consumption Expenditure,Core CPI,1,0.3373581686592367,0.08600892965255845,232,2007-03-01,2026-08-01,0.19448030766987282,0.14287786098936386,Growth / Activity,Inflation,precedes second
Nonfarm Payroll Employment,Job Openings,0,0.3343775935957082,0.3273889360304383,307,2001-01-01,2026-07-01,0.3343775935957082,0.0,Labor,Labor,same month
Real Personal Income excluding transfers,Average Weekly Hours — Manufacturing,0,0.3335327100104316,0.25867284807722435,810,1959-02-01,2026-07-01,0.3335327100104316,0.0,Growth / Activity,Labor,same month
Industrial Production,Producer Prices — All Commodities,0,0.33335814759375043,0.1953484311226166,1290,1919-02-01,2026-07-01,0.33335814759375043,0.0,Growth / Activity,Inflation,same month
Real Retail & Food Services Sales,Job Openings,0,0.3323089308021285,0.13300387134402952,305,2001-01-01,2026-07-01,0.3323089308021285,0.0,Growth / Activity,Labor,same month
Unemployment Rate,M2 Money Supply,0,0.32923013489900754,-0.03366818823550429,808,1959-02-01,2026-07-01,0.32923013489900754,0.0,Labor,Policy / Liquidity,same month
Commercial & Industrial Loans,Total Capacity Utilization,0,-0.32659894691098135,-0.03895708605865611,714,1967-02-01,2026-07-01,-0.32659894691098135,0.0,Credit,External / Structural,same month
Average Weekly Hours — Manufacturing,Job Openings,0,0.32487801374238073,0.1628661920640339,307,2001-01-01,2026-07-01,0.32487801374238073,0.0,Labor,Labor,same month
Real Retail & Food Services Sales,Building Permits,0,0.3222477183440301,0.22468394941623465,413,1992-02-01,2026-08-01,0.3222477183440301,0.0,Growth / Activity,Growth / Activity,same month
Unemployment Rate,Commercial & Industrial Loans,0,0.3218689322940522,-0.10763605562414182,941,1948-02-01,2026-08-01,0.3218689322940522,0.0,Labor,Credit,same month
Real Retail & Food Services Sales,Commercial & Industrial Loans,1,-0.319082694529412,-0.024592032789491472,412,1992-03-01,2026-08-01,-0.28820427349803757,0.030878421031374448,Growth / Activity,Credit,precedes second
Building Permits,Average Hourly Earnings — Total Private,0,-0.3166813276581634,-0.20278324505434325,245,2006-04-01,2026-08-01,-0.3166813276581634,0.0,Growth / Activity,Labor,same month
Manufacturing Production,Commercial & Industrial Loans,0,-0.31596807196624344,0.027584581905103364,654,1972-02-01,2026-07-01,-0.31596807196624344,0.0,Growth / Activity,Credit,same month
Average Weekly Hours — Total Private,Average Hourly Earnings — Total Private,-10,-0.3151808092988899,-0.218965363134652,235,2006-04-01,2025-10-01,-0.07570968989076174,0.23947111940812818,Labor,Labor,follows second
Average Weekly Hours — Total Private,Job Openings,0,0.3148104390718925,0.3100313258392765,244,2006-04-01,2026-07-01,0.3148104390718925,0.0,Labor,Labor,same month
Job Openings,Labor Force Participation Rate,0,0.3112883396333262,0.14555006488403527,305,2001-01-01,2026-07-01,0.3112883396333262,0.0,Labor,Labor,same month
Real Personal Consumption Expenditure,Federal Funds Rate,0,0.31009545530860466,0.11252187741407994,234,2007-02-01,2026-07-01,0.31009545530860466,0.0,Growth / Activity,Policy / Liquidity,same month
Nonfarm Payroll Employment,Average Weekly Hours — Total Private,1,-0.3097537659382818,-0.13625839514819882,245,2006-04-01,2026-08-01,0.016112715715103854,0.29364105022317794,Labor,Labor,precedes second
Unemployment Rate,Job Openings,0,-0.3069816951047808,-0.18902888326362557,305,2001-01-01,2026-07-01,-0.3069816951047808,0.0,Labor,Labor,same month
Commercial & Industrial Loans,Consumer Credit,-4,0.30693791851219937,0.363055339822278,955,1946-10-01,2026-04-01,0.19840126567504426,0.1085366528371551,Credit,Credit,follows second
Core PCE Price Index,Producer Prices — All Commodities,0,0.3056108354665914,0.26993485944088164,810,1959-02-01,2026-07-01,0.3056108354665914,0.0,Inflation,Inflation,same month
Real Retail & Food Services Sales,Housing Starts,0,0.30560355919166315,0.20452149566795835,413,1992-02-01,2026-08-01,0.30560355919166315,0.0,Growth / Activity,Growth / Activity,same month
Manufacturing Production,Average Weekly Hours — Total Private,0,0.30116170188179775,0.44912497893776726,244,2006-04-01,2026-07-01,0.30116170188179775,0.0,Growth / Activity,Labor,same month
Job Openings,Average Hourly Earnings — Total Private,0,-0.3005026208864953,-0.0368152488478035,244,2006-04-01,2026-07-01,-0.3005026208864953,0.0,Labor,Labor,same month
Producer Prices — Final Demand,Total Capacity Utilization,0,0.2983307125128587,0.19440542142436865,200,2009-12-01,2026-07-01,0.2983307125128587,0.0,Inflation,External / Structural,same month
Unemployment Rate,Average Weekly Hours — Total Private,1,0.2971864507325191,0.0480247278422289,243,2006-04-01,2026-08-01,-0.023230610692462954,0.27395584004005613,Labor,Labor,precedes second
Housing Starts,Average Hourly Earnings — Total Private,0,-0.2964006333707978,-0.23048395695939242,245,2006-04-01,2026-08-01,-0.2964006333707978,0.0,Growth / Activity,Labor,same month
Real Personal Income,Total Capacity Utilization,-11,-0.2943524703902872,0.015994919376103534,703,1967-02-01,2025-08-01,-0.020273285396641878,0.27407918499364536,Growth / Activity,External / Structural,follows second
Job Openings,Producer Prices — Final Demand,0,0.2938363594155654,0.20542349171074498,200,2009-12-01,2026-07-01,0.2938363594155654,0.0,Labor,Inflation,same month
Unemployment Rate,Labor Force Participation Rate,0,-0.2937346621204322,0.16198610344941727,941,1948-02-01,2026-08-01,-0.2937346621204322,0.0,Labor,Labor,same month
Manufacturing Production,Housing Starts,0,0.2875575899708017,0.19650116585513513,654,1972-02-01,2026-07-01,0.2875575899708017,0.0,Growth / Activity,Growth / Activity,same month
Real Personal Income excluding transfers,Labor Force Participation Rate,0,0.2861923889209684,0.10928192434095935,808,1959-02-01,2026-07-01,0.2861923889209684,0.0,Growth / Activity,Labor,same month
Real Personal Income,Labor Force Participation Rate,-11,-0.28530086992749176,0.031047218765090766,810,1958-03-01,2025-08-01,-0.1562344278024022,0.12906644212508955,Growth / Activity,Labor,follows second
Industrial Production,Real Personal Income,11,-0.28269108976420204,0.0525741121643855,810,1959-02-01,2026-07-01,0.004511207309738572,0.27817988245446346,Growth / Activity,Growth / Activity,precedes second
Industrial Production,Average Weekly Hours — Total Private,1,-0.28229523281403235,-0.03338163171153068,245,2006-04-01,2026-08-01,0.22236188246650987,0.05993335034752248,Growth / Activity,Labor,precedes second
Manufacturing Production,Producer Prices — Final Demand,0,0.28089020259003494,0.20273383470051892,200,2009-12-01,2026-07-01,0.28089020259003494,0.0,Growth / Activity,Inflation,same month
Industrial Production,Producer Prices — Final Demand,0,0.28037872650505796,0.1720510435754974,200,2009-12-01,2026-07-01,0.28037872650505796,0.0,Growth / Activity,Inflation,same month
Average Hourly Earnings — Total Private,Core CPI,-2,0.27977563030669017,0.3459632285042461,243,2006-02-01,2026-06-01,-0.07785871111631502,0.20191691919037513,Labor,Inflation,follows second
Manufacturing Production,M2 Money Supply,1,-0.27926009625757997,-0.022101365787465358,653,1972-03-01,2026-07-01,-0.22515137517685777,0.054108721080722205,Growth / Activity,Policy / Liquidity,precedes second
Average Weekly Hours — Manufacturing,Producer Prices — Final Demand,0,0.2783727664239545,0.15896309870737554,201,2009-12-01,2026-08-01,0.2783727664239545,0.0,Labor,Inflation,same month
Producer Prices — Final Demand,Federal Funds Rate,9,0.2782150648137704,0.14579142141302132,192,2010-09-01,2026-08-01,0.1212060928251608,0.15700897198860958,Inflation,Policy / Liquidity,precedes second
Average Weekly Hours — Total Private,Total Capacity Utilization,-1,-0.27814611442358045,-0.025736794433990785,245,2006-03-01,2026-07-01,0.23251656457353004,0.04562954985005041,Labor,External / Structural,follows second
CPI All Items,Total Bank Reserves,-1,-0.277753145228516,0.054388667234668134,808,1959-02-01,2026-07-01,-0.22207563612008493,0.055677509108431084,Inflation,Policy / Liquidity,follows second
Producer Prices — All Commodities,Total Bank Reserves,0,-0.2762526287969403,-0.00844681256740888,810,1959-02-01,2026-07-01,-0.2762526287969403,0.0,Inflation,Policy / Liquidity,same month
Real Personal Consumption Expenditure,Producer Prices — All Commodities,0,0.27415987082738813,0.06093631647777414,234,2007-02-01,2026-07-01,0.27415987082738813,0.0,Growth / Activity,Inflation,same month
Nonfarm Payroll Employment,Producer Prices — Final Demand,0,0.27293538638070397,0.21321744372117413,201,2009-12-01,2026-08-01,0.27293538638070397,0.0,Labor,Inflation,same month
Real Personal Consumption Expenditure,Average Weekly Hours — Total Private,1,-0.2638606542812722,0.04307111387419612,234,2007-03-01,2026-08-01,0.24737858227953743,0.016482072001734765,Growth / Activity,Labor,precedes second
Real Personal Income excluding transfers,Real Personal Income,11,-0.26241442837710177,0.054662524584301805,799,1960-01-01,2026-07-01,0.19966101712687429,0.06275341125022749,Growth / Activity,Growth / Activity,precedes second
Real Personal Income,Average Weekly Hours — Manufacturing,-11,-0.26157902354519685,0.000138040371433026,810,1958-03-01,2025-08-01,-0.06806142562903414,0.19351759791616271,Growth / Activity,Labor,follows second
