path,series_id,kind,sha256,first_record,csv_records,error
data\raw\labor\CES0500000003.csv,CES0500000003,expected,c602b6f2be66970cf4d06fa376fd761ae6211e93c06bfe4ea337625a080d21e8,"[""observation_date"", ""CES0500000003""]",247,
data\raw\labor\CIVPART.csv,CIVPART,expected,1049ded2ce03ab114da6055c5783975eaf1adbd7b2d37770b5e661002f82c6e6,"[""observation_date"", ""CIVPART""]",945,
data\raw\labor\ICSA.csv,ICSA,expected,8a17e65deb9d7c16245f36373d6bc2c1d1dd7221e4cf82af179d1394a2c5d3d0,"[""observation_date"", ""ICSA""]",3116,
data\raw\labor\JTSJOL.csv,JTSJOL,expected,24faecd7df1821e1df572c3f778e3fc11730b59aea9e38daf77c8f7a66fd950c,"[""observation_date"", ""JTSJOL""]",309,
data\raw\labor\PAYEMS.csv,PAYEMS,expected,bf5b48d21b9a84a0be71ece7268fad0cccb943cc89d863fdc01490bece8ab020,"[""observation_date"", ""PAYEMS""]",1053,
data\raw\labor\UNRATE.csv,UNRATE,expected,ffe86c903f6944ebc8281e5474a15fc4ceaac61059bc51ec86a7241391d8713d,"[""observation_date"", ""UNRATE""]",945,
data\raw\policy_liquidity\FEDFUNDS.csv,FEDFUNDS,expected,4c3a0f601abf9db0a8298f9e972ae6627876c4232cda79b0bc43d3230aa0450d,"[""observation_date"", ""FEDFUNDS""]",867,
data\raw\policy_liquidity\M2SL.csv,M2SL,expected,7a6e79e6f5d9ded0f53abe7907677f4f73a29ddd731022239ddc19b34b670c45,"[""observation_date"", ""M2SL""]",812,
data\raw\policy_liquidity\TOTRESNS.csv,TOTRESNS,expected,94885c469fe0c282a7470447167369dc7845c76aeec94864dd7a19029363e4a0,"[""observation_date"", ""TOTRESNS""]",812,
data\raw\policy_liquidity\WALCL.csv,WALCL,expected,853cb68f8f59466a7fa3e44bda0dd541fdc697ab1c1b979ab24afdb03cb9d8e1,"[""observation_date"", ""WALCL""]",1240,
data\raw\policy_liquidity\WRESBAL.csv,WRESBAL,expected,f8a76bdede3c6222d3d6be389fe773eb57091b98ebfb869b7706a090de462cf1,"[""observation_date"", ""WRESBAL""]",1240,
data\raw\us_macro_raw_wide.csv,us_macro_raw_wide,unexpected,91a4e2f100227487a802ac040b85700f03520b347fbfe4c23b7bf2d97b43d9fa,"[""""]",1,
data\raw\us_macro_series_registry.csv,us_macro_series_registry,unexpected,d0a37f34355b4e9838104c0ed279634ce155b43a5e337a4fd32f0e0208f9f49e,"[""series_id"", ""name"", ""category"", ""frequency"", ""fred_url""]",37,
data\RPI.csv,RPI,expected,2bdaa3763994f90227ad1a09b450b77deb62e6a483d3dffe4dd8724b7cf242f4,"[""observation_date"", ""RPI""]",812,
data\RRSFS.csv,RRSFS,expected,6588f46cd3f34f7972c1c928b00daf69bd9efaf8ae96043e807a0610904c31d5,"[""observation_date"", ""RRSFS""]",417,
data\TCU.csv,TCU,expected,0da8f8bd2b2d9f264c460e96b31633fe5a14e3de662fb9870cd4c3f5a583f4e8,"[""observation_date"", ""TCU""]",716,
data\TOTALSL.csv,TOTALSL,expected,e625da30d03cb00490c39fbb8141906c95e20d814eef51a47a211519cb376d05,"[""observation_date"", ""TOTALSL""]",1004,
data\TOTRESNS.csv,TOTRESNS,expected,94885c469fe0c282a7470447167369dc7845c76aeec94864dd7a19029363e4a0,"[""observation_date"", ""TOTRESNS""]",812,
data\UNRATE.csv,UNRATE,expected,ffe86c903f6944ebc8281e5474a15fc4ceaac61059bc51ec86a7241391d8713d,"[""observation_date"", ""UNRATE""]",945,
data\W875RX1.csv,W875RX1,expected,007ee129c01ba71573908d45db63cf4ac028fd850ed4f76f4246ad315aec76af,"[""observation_date"", ""W875RX1""]",812,
data\WALCL.csv,WALCL,expected,853cb68f8f59466a7fa3e44bda0dd541fdc697ab1c1b979ab24afdb03cb9d8e1,"[""observation_date"", ""WALCL""]",1240,
data\WRESBAL.csv,WRESBAL,expected,f8a76bdede3c6222d3d6be389fe773eb57091b98ebfb869b7706a090de462cf1,"[""observation_date"", ""WRESBAL""]",1240,
