,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Average Weekly Hours — Total Private,0.5461648508911287,0.48366438407178847,0.22987296583049366,0.3110875893130049,0.3317329871121785,0.42452599007211816,0.4924768958740224,0.5159025487591847,0.2006592987633665,-0.29420566241397,1.0,0.5346674923456239,0.5381687924000117,-0.5142528166120638,0.17697694553644158,0.1613449603657262,0.16318550448531893,0.1562689073720569,0.15742353249153493,-0.03171943444577269,0.18374414240109363,0.31281854038486384,0.26529934983894204,-0.15801505236582938,0.44773489666218763,0.3199022591713228,0.5042917674614499
Average Weekly Hours — Manufacturing,0.2235164405959928,0.6231459837821143,-0.03194514801905666,0.5296609919339178,0.5191654958739753,0.11361511339647902,-0.1056988564884289,0.03505752680799552,0.2016940547979944,-0.33483786046145386,0.5346674923456239,1.0,0.24636027060441987,0.30183303578057064,-0.10454274111501027,0.5465656739696221,0.5530994678010454,0.5250097940166144,0.5296735358963542,-0.43767407378107376,0.2060070448160382,0.5099387910573455,0.23784780428148342,-0.376865226828249,0.4298313275385337,0.4495108709386081,0.09950297662013621
Job Openings,0.6139453448644339,0.3079396435623257,0.8259601986206424,0.8549283966867278,0.8326859479960381,0.909118772130425,0.2534456332667683,0.3045600000656873,0.8395609366700872,-0.6051776838189216,0.5381687924000117,0.24636027060441987,1.0,-0.6981188082450476,0.7663552691032328,0.7750451875172522,0.7856080554849949,0.76942108553653,0.777661507685497,0.7232212768429075,0.7438080808602886,0.8359871583565152,0.8399505421496342,0.24661689335814507,0.7627534665133948,0.8626912184327976,0.2384639199538776
Labor Force Participation Rate,0.6888594641563784,0.15281611537694473,-0.7222923012746186,0.3856757855607686,0.35613158142304935,-0.8464122076455705,-0.04337275684735786,0.12759684043372693,0.7040049161815457,0.2539869949775258,-0.5142528166120638,0.30183303578057064,-0.6981188082450476,1.0,-0.7592406954521529,0.5601418372779285,0.47608331690860145,0.48161458650862476,0.4907649271030587,-0.6088775386631029,0.5474031867870275,0.3489954798948517,0.33132568716716293,0.13501298364509506,-0.13738072998661133,0.09825264353386218,-0.08594717651607943
Average Hourly Earnings — Total Private,0.35748348410278513,-0.1181750170890971,0.9845828937970552,0.9708517339944502,0.96669535545486,0.9298507656002396,0.5122243688362539,0.5458852269190058,0.8970181607717562,-0.4760070896750925,0.17697694553644158,-0.10454274111501027,0.7663552691032328,-0.7592406954521529,1.0,0.9942235708578422,0.9979439432965224,0.9943343282422978,0.9973365220911001,0.9852877879111127,0.9085061829080745,0.9315919389793998,0.9796425283971865,0.3865912940582318,0.8138264887293766,0.9779049877296737,-0.044080353476048405
CPI All Items,0.9559269538591605,0.9103077162522022,0.9792057161716821,0.9918696078742534,0.9899386378995457,0.9608390594555715,-0.2952925695832904,-0.009915015848124402,0.96998341999491,0.03929086780854761,0.1613449603657262,0.5465656739696221,0.7750451875172522,0.5601418372779285,0.9942235708578422,1.0,0.9994371258498843,0.998467601496357,0.9976589480425208,0.9968933789951285,0.9924577001760968,0.9589441997379824,0.9626075881028727,-0.383527881370785,0.7847168988878803,0.9235477469596529,-0.5877556445559808
Core CPI,0.9576510493507325,0.9152011978490604,0.9862235316527628,0.9914653995955595,0.9889467593973884,0.9643042380471165,-0.28530627796315344,0.0015644441009022825,0.9767097704816459,-0.10158004469713086,0.16318550448531893,0.5530994678010454,0.7856080554849949,0.47608331690860145,0.9979439432965224,0.9994371258498843,1.0,0.9986437810319146,0.998651771467863,0.9890544153349744,0.9865043009035542,0.9532897937394367,0.958949576144638,-0.4363104198086086,0.7747908320077653,0.9180567768891337,-0.5818835427325942
PCE Price Index,0.9600484027900678,0.9137824997218923,0.9793603354037077,0.9870666596410158,0.9839368288979177,0.9581381559332008,-0.29379757831781583,-0.006265203682773352,0.9819695629266413,-0.08012851761325797,0.1562689073720569,0.5250097940166144,0.76942108553653,0.48161458650862476,0.9943343282422978,0.998467601496357,0.9986437810319146,1.0,0.999711743741695,0.9967293633062946,0.9888636923053307,0.9422195143707516,0.9477432643012447,-0.45421525391141565,0.7610989220471922,0.9053984901121007,-0.587758859559319
Core PCE Price Index,0.961165527337375,0.9157899646420995,0.9848414448676291,0.9864234356364653,0.9829159540095632,0.9604964521339364,-0.2857502493608142,0.0025944584099721643,0.9837329616196819,-0.08755747279845079,0.15742353249153493,0.5296735358963542,0.777661507685497,0.4907649271030587,0.9973365220911001,0.9976589480425208,0.998651771467863,0.999711743741695,1.0,0.9916033002352446,0.9854007700497798,0.9402546197921747,0.9448626978536344,-0.4572550076223098,0.754591681205777,0.9017807584198594,-0.5818646819560548
Producer Prices — Final Demand,0.43754571013835947,0.003590128776278855,0.9671371541901028,0.9319489587814096,0.9064930959142032,0.9237835279930618,0.6936861065337262,0.6991841223351988,0.8893235146886013,-0.6073791675234709,-0.03171943444577269,-0.43767407378107376,0.7232212768429075,-0.6088775386631029,0.9852877879111127,0.9968933789951285,0.9890544153349744,0.9967293633062946,0.9916033002352446,1.0,0.9483728592484846,0.8506972370313332,0.9444819677065774,0.8352988127386669,0.7303232591843787,0.9435733191844642,0.1376382859454792
