,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Average Weekly Hours — Total Private,0.3342622892831205,0.4491249789377673,0.1302733146731171,0.15258684445854595,0.166677776933165,0.18495742366687404,0.05830673722938463,0.03122898727563357,0.19415862091300556,-0.12721580067531238,1.0,0.531064525100319,0.3100313258392765,0.07183396810919515,-0.06461700602108217,0.08334792598804827,-0.11881690050334455,0.04912481210015716,-0.09443649365873356,0.13481270916991478,0.13851590176444573,0.03150664972911323,0.011100466250505021,-0.05103663788917018,-0.022530178946026616,0.06955188842171776,0.3327415954446092
Average Weekly Hours — Manufacturing,0.45418102883266537,0.5210705757430569,0.14580515817063577,0.2586728480772243,0.17945862430002085,0.14120952126172484,0.16244593164528154,0.16827569481697724,0.2365522476765051,-0.16373846459649158,0.531064525100319,1.0,0.1628661920640339,0.09541120473202187,-0.11223489938114378,0.016969580337386242,-0.014647420832310111,0.024781378288901642,-0.0076312657458160816,0.15896309870737557,0.08584494928814788,-0.017007966250268212,0.009687490453201796,0.12743294142689246,-0.08939743936890904,0.02116627104042846,0.4469066731577638
Job Openings,0.16900618701730025,0.2533620495873801,0.05403791715544067,0.249233362281839,0.18815533320227706,0.1330038713440295,0.08659709969536718,0.09120522118288509,0.3273889360304382,-0.18902888326362557,0.3100313258392765,0.1628661920640339,1.0,0.14555006488403527,-0.0368152488478035,0.08586983990370047,-0.004751393506654871,0.06557065317975867,-0.0017120262377974583,0.20542349171074495,0.18425917055299523,-0.012582231589704286,0.12867610769507684,0.08938558251122346,0.0165771702829845,0.08251360953027939,0.1849764274923806
Labor Force Participation Rate,0.04925862654900548,0.08851293282357017,0.11364004661809672,0.10928192434095932,0.0803444500141384,0.013519206412350344,0.03725942626730746,0.047114978656568336,0.1483227093361454,0.16198610344941722,0.07183396810919515,0.09541120473202187,0.14555006488403527,1.0,0.008262657701755542,0.08054888290682946,0.110412221573676,0.11928001112279897,0.12388697402599129,0.07604105273284278,0.05294236390864601,0.023637891021071417,0.07935298837452223,0.12744692161853619,-0.03982795363947908,0.0008703371594870331,0.06129791597495112
Average Hourly Earnings — Total Private,-0.11484877298416787,-0.0717932874133848,-0.1126313970623423,0.004776416300273748,-0.046730732218987485,-0.19730151509914695,-0.23048395695939244,-0.20278324505434325,-0.06697723986871722,0.053461514252510195,-0.06461700602108217,-0.11223489938114378,-0.0368152488478035,0.008262657701755542,1.0,0.12762229575319384,0.23845955703193766,0.14783760185568842,0.21365830368433106,0.04973666758785496,-0.020599363635494146,0.021602218241505756,-0.002640989780694426,-0.04399857980361011,-0.037144450897179306,-0.06920268874204988,-0.11713333181263427
CPI All Items,0.01043478710406902,0.07140080274356143,-0.035161227702296224,-0.21468380685416316,-0.22926548933520066,0.06440127034094696,-0.033322015007957784,-0.03501987093561086,0.12415983003919594,-0.011240377281383952,0.08334792598804827,0.016969580337386242,0.08586983990370047,0.08054888290682946,0.12762229575319384,1.0,0.6085934451726224,0.8826222816387131,0.6247289387579102,0.5991035941537977,0.5709536332535948,0.185067511156064,0.07128346591998878,0.10739075770560234,0.01876611302714258,0.032209850285683746,0.01654573458392771
Core CPI,-0.012658912296959852,0.049881585963922316,-0.061080476427523935,-0.040220712711923956,-0.057265420354020394,-0.08830059829610465,-0.020418156574049693,-0.05912835266578047,0.1604846557245943,0.037387675184770666,-0.11881690050334455,-0.014647420832310111,-0.004751393506654871,0.110412221573676,0.23845955703193766,0.6085934451726224,1.0,0.5930606574812634,0.7448162366222657,0.18943994991669566,0.1686477044585327,0.08673960330154595,0.1262744381743615,0.09914229201680272,-0.016596014138768208,0.05114059655479749,-0.02470861141405185
PCE Price Index,-0.009554113969648607,0.0659944536073528,-0.07519603642332161,-0.2626182207849555,-0.25334936192950025,0.07509365601421109,-0.015683701346201815,-0.003319613698336561,0.10603780506787354,0.04199410664505837,0.04912481210015716,0.024781378288901642,0.06557065317975867,0.11928001112279897,0.14783760185568842,0.8826222816387131,0.5930606574812634,1.0,0.8116207465217282,0.6873273731182319,0.5673441432400853,0.12895629806898043,0.09937397318875657,0.1357074329309707,-0.010018911500198098,0.06600430236573666,0.017741043284531726
Core PCE Price Index,-0.022872395233445152,0.03712501690495911,-0.040354586514754535,-0.15613211714379374,-0.14702475174111315,-0.013302949877980162,-0.010322257865497642,-0.010626744938220618,0.11575460636501729,0.05733487969442368,-0.09443649365873356,-0.0076312657458160816,-0.0017120262377974583,0.12388697402599129,0.21365830368433106,0.6247289387579102,0.7448162366222657,0.8116207465217282,1.0,0.47014094473950724,0.2699348594408816,0.10430563409214497,0.0832371108402622,0.1122888098892614,-0.020163115533537092,0.09210354654643384,-0.016819251767064093
Producer Prices — Final Demand,0.17205104357549733,0.2027338347005189,0.028314902898227457,-0.15942780668701312,-0.26271558616866936,0.18597858701639222,0.1072186872395627,0.0626952785471876,0.21321744372117413,-0.11202028445065432,0.13481270916991478,0.15896309870737557,0.20542349171074495,0.07604105273284278,0.04973666758785496,0.5991035941537977,0.18943994991669566,0.6873273731182319,0.47014094473950724,1.0,0.7793088724877301,-0.0836668562408113,0.04112790086412027,0.016723508703233258,-0.062058622706665775,0.02083921650087022,0.19440542142436865
